Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
"Arab Cortege, Geneva",Unknown,France,Unknown,"Documentary, Short",Unknown,Unknown,NOT RATED,29 Jun 1898,1.0,movie,Unknown,1896,4.9,226,0,0
Stavitel chrámu,"Jakub Seifert, Rudolf Deyl, Karel Kolár, Eva Vrchlická",Unknown,"Karl Degl, Antonín Novotný",Drama,Unknown,Unknown,NOT RATED,05 Mar 1920,0.0,movie,"Vladimír Srámek, Jan Emil Koula",1920,5.9,8,0,0
The Love Light,"Mary Pickford, Evelyn Dumo, Raymond Bloomer, Fred Thomson",USA,Frances Marion,Drama,English,United Artists,NOT RATED,09 Jan 1921,89.0,movie,Frances Marion,1921,6.7,264,0,0
The Red Kimona,"Priscilla Bonner, Nellie Bly Baker, Carl Miller, Mary Carr",USA,"Walter Lang, Dorothy Davenport","Drama, Romance",English,Vital Exchanges,NOT RATED,16 Nov 1925,77.0,movie,"Adela Rogers St. Johns (by), Dorothy Arzner (adaptation), Malcolm Stuart Boylan (titles)",1925,6.4,188,0,0
Thunderbolt,"George Bancroft, Fay Wray, Richard Arlen, Tully Marshall",USA,Josef von Sternberg,"Crime, Drama, Film-Noir",English,Famous Players,NOT RATED,20 Jun 1929,85.0,movie,"Charles Furthman (story), Jules Furthman (story), Herman J. Mankiewicz, Joseph L. Mankiewicz (titles), Josef von Sternberg",1929,6.8,364,0,0
Consolation Marriage,"Irene Dunne, Pat O'Brien, John Halliday, Myrna Loy",USA,Paul Sloane,Drama,English,RKO Pictures,PASSED,21 Nov 1931,81.0,movie,"Bill Cunningham (by), Humphrey Pearson (screenplay), Humphrey Pearson (dialogue)",1931,6.1,307,0,0
Young Bride,"Helen Twelvetrees, Eric Linden, Arline Judge, Roscoe Ates",USA,William A. Seiter,Drama,"English, Cantonese",Unknown,PASSED,08 Apr 1932,76.0,movie,"Hugh Stanislaus Stange (play), Garrett Fort (screenplay), Ralph Murphy (additional dialogue), Jane Murfin (additional dialogue)",1932,6.4,152,0,0
The Phantom of Crestwood,"Ricardo Cortez, Karen Morley, Anita Louise, Pauline Frederick",USA,J. Walter Ruben,"Crime, Mystery",English,Unknown,PASSED,14 Oct 1932,76.0,movie,"Bartlett Cormack (screen play), Bartlett Cormack (from a story by), J. Walter Ruben (from a story by)",1932,6.7,389,0,0
A Song of Lisbon,"Vasco Santana, Beatriz Costa, António Silva, Teresa Gomes",Portugal,José Cottinelli Telmo,"Comedy, Musical",Portuguese,Unknown,NOT RATED,07 Nov 1933,85.0,movie,José Cottinelli Telmo,1933,7.8,887,0,0
Nana,"Anna Sten, Lionel Atwill, Richard Bennett, Mae Clarke",USA,"Dorothy Arzner, George Fitzmaurice",Drama,English,MGM,NOT RATED,Unknown,90.0,movie,"Harry Wagstaff Gribble, Willard Mack, Émile Zola (novel)",1934,6.1,174,0,0
Vanessa: Her Love Story,"Robert Montgomery, Helen Hayes, May Robson, Otto Kruger",USA,William K. Howard,Drama,English,Unknown,APPROVED,01 Mar 1935,74.0,movie,"Lenore J. Coffee (adaptation), Lenore J. Coffee (screenplay), Hugh Walpole (novel), Hugh Walpole (screenplay)",1935,6.4,61,0,0
To New Shores,"Zarah Leander, Willy Birgel, Edwin Jürgensen, Carola Höhn",Germany,Douglas Sirk,Drama,German,Unknown,NOT RATED,28 Jan 1938,106.0,movie,"Lovis Hans Lorenz (novel), Kurt Heuser, Douglas Sirk",1937,6.9,266,0,1
Trade Winds,"Fredric March, Joan Bennett, Ralph Bellamy, Ann Sothern",USA,Tay Garnett,Drama,English,United Artists,NOT RATED,28 Dec 1938,93.0,movie,"Tay Garnett (story), Dorothy Parker (screenplay), Alan Campbell (screenplay), Frank R. Adams (screenplay)",1938,6.4,398,0,0
The Tyrannical Father,"Vasco Santana, Francisco Ribeiro, Leonor Maia, Barroso Lopes",Portugal,António Lopes Ribeiro,Comedy,Portuguese,Unknown,NOT RATED,19 Sep 1941,114.0,movie,"António Lopes Ribeiro (dialogue), António Lopes Ribeiro (screenplay), Francisco Ribeiro (dialogue), Vasco Santana (dialogue)",1941,7.9,493,0,0
The Courtyard of the Ballads,"Maria das Neves, Vasco Santana, António Silva, Laura Alves",Portugal,Francisco Ribeiro,"Comedy, Musical",Portuguese,Unknown,NOT RATED,23 Jan 1942,121.0,movie,"António Lopes Ribeiro (screenplay), Francisco Ribeiro (screenplay), Vasco Santana (screenplay), António Lopes Ribeiro (dialogue), Vasco Santana (dialogue), Francisco Ribeiro (dialogue)",1942,7.8,930,0,0
A Date with the Falcon,"George Sanders, Wendy Barrie, James Gleason, Allen Jenkins",USA,Irving Reis,"Crime, Drama, Mystery",English,Unknown,APPROVED,16 Jan 1942,63.0,movie,"Lynn Root (screen play), Frank Fenton (screen play), Michael Arlen (based upon the character created by)",1942,6.5,576,0,0
Reunion in France,"Joan Crawford, John Wayne, Philip Dorn, Reginald Owen",USA,Jules Dassin,"Drama, Romance, War","English, German, French",MGM,PASSED,25 Dec 1942,104.0,movie,"Jan Lustig (screenplay), Marvin Borowsky (screenplay), Marc Connelly (screenplay), Leslie Bush-Fekete (story)",1942,6.1,1140,0,0
"Davy Crockett, Indian Scout","George Montgomery, Ellen Drew, Phillip Reed, Noah Beery Jr.",USA,Lew Landers,"Adventure, Western",English,United Artists,APPROVED,06 Jan 1950,71.0,movie,"Ford Beebe (story), Richard Schayer",1950,5.6,170,0,0
Stolen Identity,"Donald Buka, Joan Camden, Francis Lederer, Adrienne Gessner","Austria, USA",Gunther von Fritsch,"Drama, Film-Noir",English,Trans-Global,APPROVED,15 Sep 1958,81.0,movie,"Robert Hill (screen play), Alexander Lernet-Holenia (novel)",1953,6.3,129,0,0
O Costa d'África,"Vasco Santana, Laura Alves, Costinha, Erico Braga",Portugal,João Mendes,Comedy,Portuguese,Unknown,NOT RATED,19 Feb 1954,90.0,movie,"Joaquín Dicenta (novel), Antonio Paso (novel), Francisco Ribeiro, Henrique Santana (dialogue), Henrique Santana (screenplay), Vasco Santana (dialogue), Vasco Santana (screenplay)",1954,7.6,63,0,0
Beautiful Days,"Keiji Sada, Yoshiko Kuga, Isao Kimura, Toshiko Kobayashi",Japan,Masaki Kobayashi,Unknown,Japanese,Unknown,NOT RATED,25 May 1955,120.0,movie,Zenzô Matsuyama,1955,7.1,55,0,0
Sissi,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Uta Franz",Austria,Ernst Marischka,"Comedy, Drama, History",German,Erma-Film,NOT RATED,22 Dec 1955,102.0,movie,Ernst Marischka,1955,7.1,6338,0,1
Sissi: The Fateful Years of an Empress,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Gustav Knuth",Austria,Ernst Marischka,"Drama, History, Romance","German, Greek, Hungarian, Italian, Portuguese",Erma-Film,NOT RATED,Unknown,109.0,movie,Ernst Marischka,1957,6.6,3995,0,2
Du côté de la côte,"Roger Coggio, Anne Olivier, Jacopo Nizi",France,Agnès Varda,"Documentary, Short, History",French,Unknown,NOT RATED,27 Oct 2001,25.0,movie,"Agnès Varda (commentary), Agnès Varda (screenplay)",1958,7.2,317,0,0
The Warrior Empress,"Tina Louise, Kerwin Mathews, Riccardo Garrone, Antonio Battistella","Italy, France",Pietro Francisci,"Adventure, Drama, Romance",Italian,Unknown,NOT RATED,24 Aug 1960,89.0,movie,"Ennio De Concini (screenplay), Pietro Francisci (screenplay), Luciano Martino (screenplay), Pietro Francisci (story), Paddy Manning O'Brine (dubbing dialogue)",1960,5.5,94,0,0
The Seven Deadly Sins,"Danièle Barraud, Jean-Pierre Cassel, Jacques Charrier, Claude Rich","Italy, France","Philippe de Broca, Claude Chabrol, Jacques Demy, Sylvain Dhomme, Jean-Luc Godard, Édouard Molinaro, Roger Vadim, Max Douy(co-director)",Comedy,French,Unknown,NOT RATED,07 Mar 1962,113.0,movie,"Daniel Boulanger (dialogue), Daniel Boulanger (screenplay), Daniel Boulanger (segment), Claude Chabrol (segment), Jacques Demy (segment), Jean-Luc Godard (segment), Eugène Ionesco (segment), Félicien Marceau (dialogue), Félicien Marceau (screenplay), Félicien Marceau (segment), Claude Mauriac (segment), Roger Peyrefitte (idea), Roger Vadim (segment)",1962,6.5,351,0,0
Island of Love,"Robert Preston, Tony Randall, Giorgia Moll, Walter Matthau",USA,Morton DaCosta,Comedy,"English, Greek",Warner Bros.,APPROVED,25 Oct 1963,101.0,movie,"David R. Schwartz (screenplay), Leo Katcher (story)",1963,5.2,153,0,0
Le Bonheur,"Jean-Claude Drouot, Claire Drouot, Olivier Drouot, Sandrine Drouot",France,Agnès Varda,"Drama, Romance",French,Criterion Collection,NOT RATED,16 May 1997,79.0,movie,Agnès Varda,1965,7.7,2666,3,1
Man from Nowhere,"Giuliano Gemma, Fernando Sancho, Corinne Marchand, Nello Pazzafini","Italy, France",Michele Lupo,Western,"Italian, Spanish, French",Unknown,M,Unknown,104.0,movie,"Lewis E. Ciannelli (English language version), Ernesto Gastaldi, Luciano Martino",1966,6.3,350,0,0
Two or Three Things I Know About Her...,"Marina Vlady, Anny Duperey, Roger Montsoret, Raoul Lévy",France,Jean-Luc Godard,"Comedy, Drama","French, Italian",Criterion Collection,NOT RATED,17 Mar 1967,87.0,movie,"Catherine Vimenet (letter), Jean-Luc Godard",1967,7.0,5301,0,0
Cemetery Without Crosses,"Michèle Mercier, Robert Hossein, Guido Lollobrigida, Daniele Vargas","France, Italy",Robert Hossein,Western,"French, Italian, Spanish",Unknown,NOT RATED,25 Jan 1969,90.0,movie,"Robert Hossein (scenario), Claude Desailly (scenario), Dario Argento (scenario), Robert Hossein (adaptation), Claude Desailly (adaptation), Dario Argento (adaptation), Robert Hossein (dialogue), Claude Desailly (dialogue), Dario Argento (dialogue)",1969,6.9,1161,0,1
A Gentle Woman,"Dominique Sanda, Guy Frangin, Jeanne Lobre, Claude Ollier",France,Robert Bresson,"Drama, Romance",French,Acacia Films,NOT RATED,27 May 1971,88.0,movie,Fyodor Dostoevsky (from the short story by),1969,7.7,1724,1,0
The Rite,"Ingrid Thulin, Anders Ek, Gunnar Björnstrand, Erik Hell",Sweden,Ingmar Bergman,Drama,Swedish,Unknown,NOT RATED,18 Sep 1969,72.0,movie,Ingmar Bergman,1969,7.3,1577,0,0
Mera Naam Joker,"Manoj Kumar, Simi Garewal, Achala Sachdev, Rishi Kapoor",India,Raj Kapoor,"Comedy, Drama","Hindi, Russian, English",Yash Raj Films,NOT RATED,18 Dec 1970,224.0,movie,"Khwaja Ahmad Abbas (dialogue), Khwaja Ahmad Abbas (screenplay), Khwaja Ahmad Abbas (story)",1970,8.0,3754,5,0
Haathi Mere Saathi,"Rajesh Khanna, Tanuja, David Abraham, Sujit Kumar",India,M.A. Thirumugham,"Drama, Family, Musical",Hindi,Unknown,NOT RATED,01 May 1971,170.0,movie,"Javed Akhtar (screenplay), Inder Raj Anand (dialogue), Sandow M.M.A. Chinnappa Devar (story), Salim Khan (screenplay)",1971,7.0,828,0,0
Delirio caldo,"Mickey Hargitay, Rita Calderoni, Raul Lovecchio, Carmen Young",Italy,Renato Polselli,"Mystery, Thriller",Italian,Unknown,NOT RATED,05 Jul 1972,102.0,movie,Renato Polselli,1972,5.7,791,0,0
The Legend of Paul and Paula,"Angelica Domröse, Winfried Glatzeder, Heidemarie Wenzel, Fred Delmare",East Germany,Heiner Carow,"Drama, Romance",German,Deutsche Film (DEFA),NOT RATED,14 Mar 1973,105.0,movie,"Heiner Carow, Anne Pfeuffer (dramatisation), Ulrich Plenzdorf (scenario)",1973,7.1,869,0,0
Benaam,"Amitabh Bachchan, Moushumi Chatterjee, Satyendra Kapoor, Madan Puri",India,Narendra Bedi,"Drama, Mystery, Thriller",Hindi,Saavn,NOT RATED,18 Oct 1974,117.0,movie,"Narendra Bedi (screenplay), Jayant Dharmadhikari (screenplay), Kader Khan (dialogue)",1974,6.9,194,0,0
Sheila Levine Is Dead and Living in New York,"Jeannie Berlin, Roy Scheider, Rebecca Dianna Smith, Janet Brandt",USA,Sidney J. Furie,Comedy,English,Paramount Pictures,PG,01 Dec 1975,113.0,movie,"Gail Parent (novel), Kenny Solms",1975,6.4,184,0,0
"You're a Good Sport, Charlie Brown","Duncan Watson, Melanie Kohn, Stuart Brotman, Jimmy Ahrens",USA,Phil Roman,"Animation, Comedy, Family",English,Warner Home Video,NOT RATED,28 Oct 1975,24.0,movie,"Charles M. Schulz, Charles M. Schulz (creator)",1975,7.4,337,0,0
Death Machines,"Ronald L. Marchini, Michael Chong, Joshua Johnson, Mari Honjo",USA,Paul Kyriazi,"Action, Thriller",English,Crown International Pictures,R,01 Jun 1976,93.0,movie,"Joe Walders (screenplay), Paul Kyriazi (screenplay), Joe Walders (original story)",1976,3.6,378,0,0
Laserblast,"Kim Milford, Cheryl Smith, Gianni Russo, Ron Masak",USA,Michael Rae,"Horror, Sci-Fi",English,Irwin Yablans Company,PG,01 Mar 1978,85.0,movie,"Franne Schacht, Frank Ray Perilli",1978,2.5,4867,0,1
The Dark,"William Devane, Cathy Lee Crosby, Richard Jaeckel, Keenan Wynn",USA,"John 'Bud' Cardos, Tobe Hooper","Horror, Sci-Fi, Thriller",English,Dick Clark Productions,R,27 Apr 1979,92.0,movie,Stanford Whitmore,1979,4.2,918,0,1
Schneeweißchen und Rosenrot,"Julie Juristová, Katrin Martin, Pavel Trávnícek, Bodo Wolf",East Germany,Siegfried Hartmann,"Family, Fantasy",German,Unknown,NOT RATED,06 Jul 1979,70.0,movie,"Margot Beichler (scenario), Jacob Grimm (story), Wilhelm Grimm (story), Siegfried Hartmann",1979,6.7,265,0,0
Sparsh,"Shabana Azmi, Naseeruddin Shah, Sudha Chopra, Mohan Gokhale",India,Sai Paranjape,"Drama, Romance",Hindi,Unknown,NOT RATED,30 Jan 1980,145.0,movie,Sai Paranjape,1980,8.2,472,4,0
Star Trek II: The Wrath of Khan,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",USA,Nicholas Meyer,"Action, Adventure, Sci-Fi",English,Paramount Pictures,PG,04 Jun 1982,113.0,movie,"Gene Roddenberry (television series Star Trek), Harve Bennett (story), Jack B. Sowards (story), Jack B. Sowards (screenplay)",1982,7.7,99697,3,9
Nightbeast,"Tom Griffith, Jamie Zemarel, Karin Kardian, George Stover",USA,Don Dohler,"Horror, Sci-Fi",English,Cinema Enterprises,R,01 Nov 1982,80.0,movie,Don Dohler,1982,3.7,781,0,0
The Moon in the Gutter,"Gérard Depardieu, Nastassja Kinski, Victoria Abril, Bertice Reading","France, Italy",Jean-Jacques Beineix,Drama,French,Cinema Libre Studio,R,18 May 1983,137.0,movie,"Jean-Jacques Beineix (scenario), Olivier Mergault (scenario), David Goodis (novel)",1983,6.0,1027,1,4
Rang Birangi,"Amol Palekar, Parveen Babi, Farooq Shaikh, Deepti Naval",India,Hrishikesh Mukherjee,Comedy,Hindi,Unknown,NOT RATED,23 Apr 1983,180.0,movie,"Kamleshwar (story), Hrishikesh Mukherjee (screenplay), Ashok Rawat (dialogue)",1983,7.3,344,0,0
Hero,"Sanjeev Kumar, Shammi Kapoor, Jackie Shroff, Meenakshi Sheshadri",India,Subhash Ghai,"Action, Drama, Romance",Hindi,Unknown,NOT RATED,Unknown,173.0,movie,"Mukta Ghai (story), Subhash Ghai, Ram Kelkar (screenplay)",1983,6.7,627,0,0
Masoom,"Naseeruddin Shah, Shabana Azmi, Tanuja, Jugal Hansraj",India,Shekhar Kapur,"Drama, Family, Musical",Hindi,Unknown,NOT RATED,Unknown,165.0,movie,Gulzar (screenplay and dialogue),1983,8.5,2880,5,0
Star Trek III: The Search for Spock,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",USA,Leonard Nimoy,"Action, Adventure, Sci-Fi","English, Klingon, Russian, French",Paramount Pictures,PG,01 Jun 1984,105.0,movie,"Gene Roddenberry (television series Star Trek), Harve Bennett",1984,6.7,64491,1,7
Blastfighter,"Michael Sopkiw, Valentina Forte, George Eastman, Stefano Mingardo","Italy, France",Lamberto Bava,"Action, Crime, Drama","English, Italian, French",Unknown,NOT RATED,15 Nov 1985,87.0,movie,"Luca De Rita, Massimo De Rita, Morando Morandini Jr. (story), Dardano Sacchetti (story)",1984,5.8,735,0,0
Spookies,"Felix Ward, Maria Pechukas, Dan Scott, Alec Nemser","USA, Netherlands","Genie Joseph, Thomas Doran, Brendan Faulkner","Comedy, Horror",English,Twisted Souls,R,01 Jan 1988,85.0,movie,"Ann Burgund (additional material), Thomas Doran (screenplay), Frank M. Farel (screenplay: Twisted Souls footage), Brendan Faulkner (screenplay: Twisted Souls footage)",1986,5.1,1453,0,0
Karma,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff",India,Subhash Ghai,"Action, Adventure, Comedy",Hindi,Unknown,NOT RATED,08 Aug 1986,193.0,movie,"Sachin Bhowmick (screenplay), Subhash Ghai, Kader Khan (dialogue)",1986,7.4,1406,0,0
Mr. India,"Anil Kapoor, Sridevi, Amrish Puri, Satish Kaushik",India,Shekhar Kapur,"Action, Adventure, Family",Hindi,Unknown,NOT RATED,25 May 1987,179.0,movie,"Javed Akhtar, Salim Khan",1987,7.8,10135,1,0
Tezaab,"Anil Kapoor, Madhuri Dixit, Anupam Kher, Chunky Pandey",India,N. Chandra,"Action, Drama, Musical",Hindi,Ultra,NOT RATED,11 Nov 1988,173.0,movie,"N. Chandra, Kamlesh Pandey",1988,7.0,1421,4,1
Maine Pyar Kiya,"Salman Khan, Bhagyashree, Alok Nath, Rajeev Verma",India,Sooraj R. Barjatya,"Drama, Family, Musical",Hindi,Rajshri Media,NOT RATED,29 Dec 1989,192.0,movie,"S.M. Ahale (story), Sooraj R. Barjatya (dialogue), Sooraj R. Barjatya (screenplay)",1989,7.4,8432,4,2
Star Trek V: The Final Frontier,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",USA,William Shatner,"Action, Adventure, Fantasy","English, Klingon",Paramount Pictures,PG,09 Jun 1989,107.0,movie,"Gene Roddenberry (creator: based on ""Star Trek""), William Shatner (story), Harve Bennett (story), David Loughery (story), David Loughery (screenplay)",1989,5.4,48544,4,3
The Willies,"Sean Astin, Jason Horst, Joshua Miller, James Karen",USA,Brian Peck,"Horror, Comedy",English,Prism Entertainment,PG-13,27 Dec 1990,92.0,movie,Brian Peck (screenplay),1990,4.8,1147,0,0
Saajan,"Sanjay Dutt, Madhuri Dixit, Salman Khan, Ekta Sohini",India,Lawrence D'Souza,"Drama, Musical, Romance",Hindi,Unknown,NOT RATED,30 Aug 1991,181.0,movie,"Reema Rakesh Nath (dialogue), Reema Rakesh Nath (screenplay), Reema Rakesh Nath (story)",1991,7.3,4788,2,2
Phool Aur Kaante,"Ajay Devgn, Madhoo, Arif Khan, Jagdeep",India,Sandesh Kohli,"Thriller, Action, Crime",Hindi,Sonu Films International,NOT RATED,22 Nov 1991,173.0,movie,Iqbal Durrani,1991,5.8,948,1,0
100 Days,"Jackie Shroff, Madhuri Dixit, Javed Jaffrey, Laxmikant Berde",India,Partho Ghosh,"Horror, Romance, Thriller",Hindi,Unknown,NOT RATED,Unknown,161.0,movie,"Bhushan Banmali (dialogue), Devjyoti Roy (screenplay)",1991,6.6,702,0,0
