Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
Dhadkan,"Akshay Kumar, Shilpa Shetty, Sunil Shetty, Mahima Chaudhry",India,Dharmesh Darshan,"Drama, Romance",Hindi,Unknown,NOT RATED,11 Aug 2000,161.0,movie,"Dharmesh Darshan (dialogue), Naseem Mukri (dialogue), Naseem Mukri (screenplay), Raj Sinha (screenplay)",2000,6.8,5639,3,26
2gether,"Noah Bastian, Alan Blumenfeld, Michael Cuccione, Kevin P. Farley","Canada, USA",Nigel Dick,"Drama, Comedy, Music",English,Unknown,NOT RATED,21 Feb 2000,0.0,movie,"Brian Gunn, Mark Gunn",2000,7.3,1273,0,0
Fiza,"Jaya Bhaduri, Karisma Kapoor, Hrithik Roshan, Neha",India,Khalid Mohamed,"Action, Crime, Drama","Hindi, Urdu",Unknown,NOT RATED,08 Sep 2000,170.0,movie,"Khalid Mohamed (story and screenplay), Javed Siddiqui (dialogue)",2000,6.2,3183,4,18
Alai Payuthey,"Madhavan, Shalini, Swarnamalya, V. Natarajan",India,Mani Ratnam,"Drama, Musical, Romance",Tamil,Unknown,NOT RATED,14 Apr 2000,156.0,movie,"Mani Ratnam (dialogue), Mani Ratnam (screenplay), Mani Ratnam (story), R. Selvaraj (dialogue)",2000,8.3,3380,3,0
The Slurb,"Ulrich Noethen, Christine Urspruch, Aglaia Szyszkowitz, Armin Rohde",Germany,Ben Verbong,"Comedy, Family, Fantasy","German, Inuktitut",Unknown,NOT RATED,18 Oct 2001,102.0,movie,"Paul Maar (screenplay), Ulrich Limmer (screenplay), Paul Maar (books)",2001,5.7,667,6,1
Jett Jackson: The Movie,"Lee Thompson Young, Lindy Booth, Nigel Shawn Williams, Ryan Sommers Baum",Canada,Shawn Levy,"Action, Adventure, Comedy",English,Alliance Atlantis Television Productions,PG,08 Jun 2001,100.0,movie,Bruce Kalish,2001,6.4,988,1,4
Winning London,"Mary-Kate Olsen, Ashley Olsen, Brandon Tyler, Jesse Spencer",USA,Craig Shapiro,"Adventure, Comedy, Family",English,Warner Home Video,G,27 Mar 2001,93.0,movie,Karol Ann Hoeffner,2001,5.5,3280,0,0
Black River,"Jay Mohr, Lisa Edelstein, Ann Cusack, Ron Canada",USA,Jeff Bleckner,"Mystery, Sci-Fi",English,Bayonne Entertainment,PG,06 Jul 2001,84.0,movie,"Daniel Taplitz (teleplay), Dean R. Koontz (novel)",2001,5.9,1205,0,0
Vaya con Dios,"Michael Gwisdek, Daniel Brühl, Traugott Buhre, Matthias Brenner",Germany,Zoltan Spirandelli,"Comedy, Music, Romance",German,Unknown,NOT RATED,28 Mar 2002,106.0,movie,Zoltan Spirandelli,2002,7.0,910,6,0
My Little Bride,"Rae-won Kim, Geun-young Moon, Sun-yeong Ahn, Bo-kyeong Kim",South Korea,Ho-joon Kim,"Comedy, Drama, Romance","Korean, English",Unknown,NOT RATED,02 Apr 2004,115.0,movie,Sun-il Yu,2004,7.2,4403,0,0
Tomorrow We Move,"Sylvie Testud, Aurore Clément, Jean-Pierre Marielle, Natacha Régnier","France, Belgium",Chantal Akerman,Comedy,French,RTBF,NOT RATED,03 Mar 2004,110.0,movie,"Chantal Akerman, Eric De Kuyper",2004,6.0,373,1,1
Breaking Dawn,"Kelly Overton, James Haven, Jennette McCurdy, Joe Morton",USA,Mark Edwin Robinson,"Horror, Mystery, Thriller",English,Castlight Pictures,R,16 Oct 2004,87.0,movie,Mark Edwin Robinson,2004,5.7,1444,0,0
Stuck in the Suburbs,"Danielle Panabaker, Brenda Song, Amanda Shaw, CiCi Hedgpeth",USA,Savage Steve Holland,"Comedy, Family, Music",English,Richard Fischoff,TV-G,16 Jul 2004,76.0,movie,"Wendy Engelberg (story), Amy Engelberg (story), Wendy Engelberg (teleplay), Amy Engelberg (teleplay), Dan Berendsen (teleplay)",2004,5.7,2930,0,0
30 Days Until I'm Famous,"Sean Patrick Flanery, Camille Guaty, Alanna Ubach, Jack Plotnick",USA,Gabriela Tagliavini,"Comedy, Romance","English, Spanish, French",Anchor Bay Entertainment,NOT RATED,07 May 2004,90.0,movie,Laura Angelica Simon,2004,5.0,296,0,0
Garam Masala,"Akshay Kumar, John Abraham, Paresh Rawal, Rimi Sen",India,Priyadarshan,"Comedy, Romance",Hindi,Venus Films,NOT RATED,03 Nov 2005,146.0,movie,"Priyadarshan (screenplay), Neeraj Vora (dialogue), Priyadarshan (story)",2005,6.8,10613,1,2
Headspace,"Christopher Denham, Sean Young, Larry Fessenden, Daniel Manche",USA,Andrew van den Houten,"Horror, Mystery, Sci-Fi",English,Freestyle Releasing,R,18 Sep 2005,89.0,movie,"Troy McCombs (story), Steve Klausner (screenplay), William M. Miller (screenplay)",2005,4.7,1673,1,0
Apaharan,"Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan",India,Prakash Jha,"Action, Crime, Drama",Hindi,Entertainment One,NOT RATED,02 Dec 2005,173.0,movie,"Prakash Jha (dialogue), Prakash Jha (screenplay), Prakash Jha (story), Shridhar Raghavan (screenplay), Manoj Tyagi (screenplay)",2005,7.4,3452,4,2
A Stranger of Mine,"Yasuhi Nakamura, Reika Kirishima, Sô Yamanaka, Yuka Itaya",Japan,Kenji Uchida,"Comedy, Drama, Romance",Japanese,Unknown,NOT RATED,05 Jan 2006,98.0,movie,Kenji Uchida,2005,7.8,883,12,1
Now You See It...,"Aly Michalka, Johnny Pacar, Frank Langella, Chris Olivero",USA,Duwayne Dunham,"Drama, Family, Fantasy",English,"Disney Enterprises, Inc.",TV-G,14 Jan 2005,83.0,movie,Bill Fritz,2005,6.5,1744,0,0
Life Is Ruff,"Kyle Massey, Kay Panabaker, Mitchel Musso, Carter Jenkins",USA,Charles Haid,"Comedy, Family",English,Davis Entertainment,TV-G,15 Jul 2005,84.0,movie,Eddie Guzelian,2005,5.1,1115,0,0
The Legend of 7 Cutter,"Jae-mo Ahn, Myeong-hun Cheon, Hyeon-yeong, Jun-ha Jeong",South Korea,Nam-ki Kwon,Comedy,Korean,Unknown,NOT RATED,30 Mar 2006,100.0,movie,"Jeong Heo, In-ho Hwang, Nam-ki Kwon, Sang-ho Oh",2006,6.3,292,0,0
Snapphanar,"André Sjöberg, Tuva Novotny, Anders Ekborg, Malin Morgan","Sweden, Lithuania, Denmark, Finland, Norway",Unknown,"Action, Drama, History","Swedish, Danish",Unknown,NOT RATED,22 Nov 2006,174.0,series,Unknown,2006,5.4,957,0,0
Cow Belles,"Aly Michalka, AJ Michalka, Jack Coleman, Sheila McCarthy",USA,Francine McDougall,"Comedy, Family, Romance",English,Walt Disney Home Entertainment,TV-G,24 Mar 2006,90.0,movie,"Matt Dearborn (teleplay), Matt Dearborn (story), Stu Krieger (teleplay)",2006,5.3,4884,0,0
Chup Chup Ke,"Kareena Kapoor Khan, Shahid Kapoor, Paresh Rawal, Neha Dhupia",India,"Priyadarshan, Kookie Vikas Gulati","Comedy, Drama, Romance",Hindi,UTV Motion Pictures,NOT RATED,09 Jun 2006,164.0,movie,"Priyadarshan (story and screenplay), Neeraj Vora (dialogue)",2006,6.6,5872,0,0
Belle toujours,"Michel Piccoli, Bulle Ogier, Ricardo Trêpa, Leonor Baldaque","Portugal, France",Manoel de Oliveira,"Drama, Music",French,New Yorker Films,NOT RATED,11 Apr 2007,68.0,movie,Manoel de Oliveira,2006,6.5,857,0,4
Triple Dare,"Emma Leth, Cathrine Bjørn, Amalie Lindegård, Sebastian Jessen",Denmark,Christina Rosendahl,Drama,Danish,Unknown,NOT RATED,11 Aug 2006,92.0,movie,Mette Heeno,2006,5.6,793,2,2
The Dark Hour,"Silke, Omar Muñoz, Pepo Oliva, Carola Manzanares",Spain,Elio Quiroga,"Horror, Mystery, Sci-Fi",Spanish,Unknown,NOT RATED,14 Sep 2007,92.0,movie,Elio Quiroga,2006,6.0,1591,0,0
The Lost,"Marc Senter, Shay Astar, Alex Frost, Megan Henning",USA,Chris Sivertson,"Crime, Drama, Horror",English,Anchor Bay Entertainment,NOT RATED,18 Mar 2008,119.0,movie,"Chris Sivertson (written for the screen by), Jack Ketchum (novel)",2006,6.0,2391,2,1
Dor,"Ayesha Takia, Shreyas Talpade, Gul Panag, Girish Karnad",India,Nagesh Kukunoor,Drama,"Hindi, Urdu",T-House Productions,NOT RATED,22 Sep 2006,147.0,movie,"Nagesh Kukunoor (screenplay), Nagesh Kukunoor (story), Mir Ali Husain (story), T.A. Razak",2006,8.0,4733,0,0
Desolation Canyon,"Stacy Keach, Patrick Duffy, Kenny Johnson, Kelly Overton",USA,David S. Cass Sr.,Western,English,RHI Entertainment,NOT RATED,Unknown,80.0,movie,Dan Fitzsimons,2006,5.6,275,0,0
Jump In!,"Corbin Bleu, Keke Palmer, David Reivers, Shanica Knowles",USA,Paul Hoen,"Comedy, Drama, Family",English,Davis Entertainment,TV-G,27 Apr 2007,85.0,movie,"Doreen Spicer, Regina Y. Hicks, Karin Gist",2007,5.4,5455,2,2
Too Young to Marry,"Nina Dobrev, Dillon Casey, Polly Draper, Frank Schorpion","USA, Canada",Michel Poulette,"Comedy, Drama, Romance",English,Unknown,TV-14,09 Jul 2007,90.0,movie,"Elle Triedman (teleplay), Sterling Anderson (story)",2007,5.8,649,0,0
L'ennemi intime,"Benoît Magimel, Albert Dupontel, Aurélien Recoing, Marc Barbé","France, Morocco",Florent-Emilio Siri,"Drama, History, War","French, Arabic, Kabyle",SND,NOT RATED,02 Oct 2009,111.0,movie,"Patrick Rotman (screenplay), Florent-Emilio Siri (adaptation), Patrick Rotman (adaptation)",2007,6.9,2958,2,4
Hush Little Baby,"Victoria Pratt, Ari Cohen, Johanna Black, Tiffany Amiot",Canada,Holly Dale,"Drama, Mystery, Thriller",English,Nomadic Pictures,TV-14,27 Oct 2007,90.0,movie,"Philip Levens, Ian Kessner",2007,4.2,376,1,0
Vaaranam Aayiram,"Suriya, Simran, Ramya, Sameera Reddy",India,Gautham Menon,"Drama, Musical, Romance",Tamil,Unknown,NOT RATED,14 Nov 2008,169.0,movie,"Meghana Karthik (subtitles), Gautham Menon",2008,8.0,5860,7,3
Don't Look Down,"Antonella Costa, Leandro Stivelman, Hugo Arana, Mónica Galán","Argentina, France",Eliseo Subiela,"Drama, Romance",Spanish,Unknown,R,30 Oct 2008,85.0,movie,Eliseo Subiela,2008,6.1,2111,2,0
Resurrection County,"Adam Huss, Kathryn Michelle, Dayton Knoll, Cassie Self",USA,Matt Zettell,"Horror, Thriller",English,Unknown,R,19 Oct 2011,95.0,movie,"James Cotten, Matt Yeager, James Cotten (story)",2008,4.7,491,0,0
Minutemen,"Jason Dolley, Luke Benward, Nicholas Braun, Chelsea Kane",USA,Lev L. Spiro,"Adventure, Comedy, Family",English,Walt Disney Home Entertainment,TV-G,25 Jan 2008,98.0,movie,"John Killoran (teleplay), David Diamond (story), David Weissman (story)",2008,6.0,4361,0,5
Acolytes,"Joel Edgerton, Michael Dorman, Sebastian Gregory, Hanna Mangan Lawrence",Australia,Jon Hewitt,"Crime, Drama, Horror",English,IFC Midnight,NOT RATED,25 Mar 2009,91.0,movie,"Shane Krause, Shayne Armstrong, Jon Hewitt, James M. Vernon (additional writing)",2008,5.6,2011,3,2
King of Escape,"Ludovic Berthillot, Hafsia Herzi, Pierre Laur, Luc Palun",France,Alain Guiraudie,"Adventure, Comedy",French,Unknown,NOT RATED,15 Jul 2009,93.0,movie,"Alain Guiraudie (screenplay), Laurent Lunetta (screenplay), Frédérique Moreau (collaboration)",2009,6.2,539,1,3
10-eok,"Jae-ho Baek, Seo-wu Choi, Seo-eun Han, Matt Hodgkinson",South Korea,Min-ho Cho,Thriller,Korean,Unknown,NOT RATED,06 Aug 2009,114.0,movie,Min-ho Cho,2009,5.5,386,0,0
The Immortal Voyage of Captain Drake,"Adrian Paul, Temuera Morrison, Wes Ramsey, Daniel Kash","Bulgaria, USA",David Flores,"Adventure, Fantasy",English,Syfy,NOT RATED,17 Jan 2009,86.0,movie,Rafael Jordan,2009,4.3,506,0,0
Evil Things,"Laurel Casillo, Morgan Hooper, Torrey Weiss, Ryan Maslyn",USA,Dominic Perez,"Horror, Mystery, Thriller",English,Inception Media Group,R,11 Jul 2011,86.0,movie,Dominic Perez,2009,4.2,1412,0,0
Solitary,"Amber Jaeger, Andrew Johnson, Kieron Elliott, Kristine Sullivan",USA,Greg Derochie,Mystery,English,Formation Films,TV-14,Unknown,92.0,movie,"Greg Derochie, Charles Scalfani",2009,5.4,319,1,0
Vedam,"Anushka Shetty, Manoj Kumar Manchu, Allu Arjun, Manoj Bajpayee",India,Krish Jagarlamudi,"Action, Crime, Drama",Telugu,Unknown,NOT RATED,04 Jun 2010,135.0,movie,Radha Krishna,2010,8.2,3674,4,1
A Small Act,Unknown,USA,Jennifer Arnold,Documentary,"Kikuyu, English, Swahili, Swedish",HBO Documentary Films,NOT RATED,01 Jan 2010,88.0,movie,Jennifer Arnold,2010,7.5,289,4,4
Dear Mr. Gacy,"William Forsythe, Jesse Moss, Emma Lahana, Cole Heppell",Canada,Svetozar Ristovski,"Crime, Drama, Thriller",English,STARZ MEDIA LLC.,R,11 May 2010,103.0,movie,"Kellie Madison (screenplay), Clark Peterson (story), Jason Moss (book), Jeffrey Kottler (book)",2010,6.4,2697,0,0
Fire in Babylon,"Richie Benaud, Ian Botham, Geoffrey Boycott, Brian Close",UK,Stevan Riley,"Documentary, Sport",English,Tribeca Films,TV-14,22 Jul 2011,87.0,movie,Stevan Riley,2010,7.7,1432,0,3
Any and Every Which Way,"Yoshiki Kanahashi, Hôka Kinoshita, Kotono, Ini Kusano",Japan,Shôichirô Masumoto,Comedy,Japanese,Unknown,NOT RATED,27 Feb 2010,75.0,movie,Shôichirô Masumoto (screenplay),2010,5.1,54,0,0
Cat Shit One,"Satoshi Hino, Hiroshi Tsuchida",Japan,Kazuya Sasahara,"Animation, Short, Action","Japanese, English",Unknown,NOT RATED,05 Feb 2011,22.0,movie,Unknown,2010,7.0,1143,0,1
Pure,"Alicia Vikander, Samuel Fröler, Josephine Bauer, Martin Wallström",Sweden,Lisa Langseth,Drama,Swedish,Unknown,NOT RATED,22 Oct 2010,97.0,movie,Lisa Langseth,2010,7.0,3148,8,2
Remains,"Grant Bowler, Evalena Marie, Tawny Cypress, Miko Hughes",USA,Colin Theys,"Action, Drama, Horror",English,Unknown,NOT RATED,06 Dec 2011,88.0,movie,"John Doolan (screenplay), Steve Niles (graphic novel), Steve Niles (original story)",2011,4.2,1838,0,0
Bringing Ashley Home,"A.J. Cook, Jennifer Morrison, Patricia Richardson, Timothy Webber",Canada,Nick Copus,Drama,English,A & E Home Entertainment,NOT RATED,20 Mar 2011,87.0,movie,Walter Klenhard,2011,6.3,512,1,2
Certain Prey,"Mark Harmon, Lola Glaudini, Tatiana Maslany, Kate Greenhouse",USA,Chris Gerolmo,"Action, Crime, Thriller",English,Unknown,NOT RATED,06 Nov 2011,85.0,movie,"John Sandford (book), Chris Gerolmo (teleplay)",2011,5.6,1024,0,0
From the Head,"George Griffith, Matthew Lillard, Jeffrey Doornbos, Samantha Lemole",USA,George Griffith,Drama,English,Breaking Glass Pictures,NOT RATED,24 Jun 2011,95.0,movie,George Griffith,2011,7.6,73,0,1
The Selling,"Gabriel Diani, Janet Varney, Jonathan Klein, Etta Devine",USA,Emily Lou Wilbur,Comedy,English,Artist View Entertainment,NOT RATED,21 Aug 2012,92.0,movie,Gabriel Diani,2011,6.1,600,0,0
Varg Veum - Svarte får,"Trond Espen Seim, Lene Nystrøm, Bjørn Floberg, Alexander Karim",Norway,Stephan Apelgren,Crime,Norwegian,Unknown,NOT RATED,21 Jan 2011,90.0,movie,"Trygve Allister Diesen (screenplay), Christopher Harberg (story)",2011,6.1,920,0,0
Magi i luften,"Emma Sehested Høeg, Gustav Hintze, Victoria Carmen Sonne, Anton Honik","Denmark, Sweden",Simon Staho,"Drama, Musical",Danish,Unknown,NOT RATED,23 Jun 2011,90.0,movie,"Simon Staho (screenplay), Peter Birro (screenplay)",2011,4.9,108,1,2
Rush: Time Machine 2011: Live in Cleveland,"Geddy Lee, Alex Lifeson, Neil Peart",Canada,"Sam Dunn, Scot McFadyen","Documentary, Music",English,D & E Entertainment,NOT RATED,08 Nov 2011,163.0,movie,Unknown,2011,8.1,290,0,0
Let Go,"David Denman, Gillian Jacobs, Kevin Hart, Edward Asner",USA,Brian Jett,Comedy,English,Entertainment One,NOT RATED,21 Aug 2012,95.0,movie,Brian Jett,2011,5.4,471,0,0
The Dirty Picture,"Vidya Balan, Emraan Hashmi, Tusshar Kapoor, Naseeruddin Shah",India,Milan Luthria,"Biography, Comedy, Drama","Hindi, Tamil, English, English",Unknown,NOT RATED,02 Dec 2011,144.0,movie,"Rajat Arora (dialogue), Rajat Arora (screenplay), Rajat Arora, Aditi Mediratta (associate writer)",2011,6.7,7344,16,19
Ricochet,"John Corbett, Julie Benz, Kelly Overton, Haaz Sleiman",USA,Nick Gomez,"Crime, Drama, Mystery",English,Turner Network Television,NOT RATED,30 Nov 2011,89.0,movie,"Donald Martin, Sandra Brown (based on the novel by)",2011,4.6,273,0,0
Un mundo cuadrado,"Samuel Galiardo, Jesús Carroza, Rocío Peláez, Juanfra Juárez",Spain,Álvaro Begines,Unknown,Spanish,Unknown,NOT RATED,25 Nov 2011,0.0,movie,"Álvaro Begines, Miguel A. Carmona",2011,6.3,39,0,0
Not Waving But Drowning,"Vanessa Ray, Megan Guinan, Lynn Cohen, Scott Bryce",USA,Devyn Waitt,Drama,English,White Horse Pictures,NOT RATED,06 Jun 2012,100.0,movie,Devyn Waitt,2012,6.2,263,1,1
Dark Blood,"River Phoenix, Judy Davis, Jonathan Pryce, Karen Black","USA, UK, Netherlands",George Sluizer,Thriller,English,Scala Productions,NOT RATED,26 Apr 2014,86.0,movie,Jim Barton,2012,6.6,966,0,0
Ghoul,"Barry Corbin, Catherine Mary Stewart, Nolan Gould, Catherine Curtin",USA,Gregory Wilson,"Drama, Horror, Thriller",English,Chiller Films,NOT RATED,13 Apr 2012,80.0,movie,"Brian Keene (novel), William M. Miller (screenplay)",2012,3.9,581,1,0
Krot na more,Unknown,Russia,Anna Kadykova,"Animation, Short, Adventure",Unknown,Unknown,NOT RATED,01 Sep 2012,5.0,movie,"Anna Kadykova (story), Anna Kadykova",2012,7.2,6,0,1
Infinite,"Joanne Clendining, Brian Fifield, Nick Grock, Mark Kochanowicz",USA,Daniel Speers,"Short, Drama, Sci-Fi",English,Unknown,NOT RATED,26 Aug 2012,0.0,movie,Daniel Speers,2012,7.7,16,0,0
Macropolis,Unknown,UK,Joel Simon,"Animation, Short",English,Unknown,NOT RATED,05 Jul 2012,8.0,movie,"Ciaran Morrison, Mick O'Hara, Joel Simon",2012,7.0,64,1,2
Evidence,"Ryan McCoy, Brett Rosenberg, Ashley Bracken, Toby Bryant",USA,Howie Askins,"Horror, Mystery, Sci-Fi",English,Unknown,NOT RATED,27 Sep 2012,78.0,movie,Ryan McCoy,2012,5.1,3903,0,0
Oh Willy...,Unknown,"Belgium, France, Netherlands","Emma De Swaef, Marc James Roels","Animation, Short, Adventure",None,Unknown,NOT RATED,04 Apr 2013,17.0,movie,"Emma De Swaef, Marc James Roels",2012,7.1,262,26,5
The Devil in Me,"Michelle Argyris, Shantelle Canzanese, Vanessa Broze, Kevin Walker",Canada,Greg A. Sager,Horror,"English, Latin",eOne Entertainment Distribution,NOT RATED,07 Aug 2012,108.0,movie,"Geoff Hart, Greg A. Sager",2012,4.1,2117,0,0
When Day Breaks,"Mustafa Nadarevic, Predrag Ejdus, Meto Jovanovski, Zafir Hadzimanov","Serbia, France, Croatia",Goran Paskaljevic,Drama,Serbian,Unknown,NOT RATED,24 Dec 2012,95.0,movie,"Filip David, Goran Paskaljevic",2012,7.2,581,4,2
White Rabbit,"Nick Krause, Todd McLaren, Sam Trammell, Kelcy Baker",USA,Tim McCann,Drama,English,Unknown,NOT RATED,13 Feb 2015,90.0,movie,"Anthony Di Pietro, Anthony Di Pietro",2013,6.1,1048,6,0
Little Witch Academia,"Megumi Han, Fumiko Orikasa, Michiyo Murase, Yôko Hikasa",Japan,Yô Yoshinari,"Animation, Short, Comedy",Japanese,Unknown,TV-Y7,02 Mar 2013,26.0,movie,"Yô Yoshinari (creator), Masahiko Ôtsuka",2013,7.4,1328,0,1
